feature,metadata,value,coef,stderr,N,N.not.0,pval,qval
K12583,treatmentOrder,medium,2.169674766,0.426247893,95,95,2.05E-06,0.000341525
K07543,treatmentOrder,medium,4.850224376,0.953296197,95,58,2.06E-06,0.000343529
K00367,treatmentOrder,high,2.034943063,0.386424471,95,95,2.11E-06,0.000350321
K00467,treatmentOrder,high,2.390438683,0.456980709,95,95,2.12E-06,0.000350321
K00273,treatmentOrder,high,3.011167251,0.575520569,95,92,2.18E-06,0.000353637
K01844,treatmentOrder,high,-4.517222447,0.853351241,95,53,2.17E-06,0.000353637
K09990,treatmentOrder,high,1.084554952,0.213620118,95,95,2.16E-06,0.000353637
K18011,treatmentOrder,high,-4.517222447,0.853351241,95,53,2.17E-06,0.000353637
K18012,treatmentOrder,high,-4.517222447,0.853351241,95,53,2.17E-06,0.000353637
K00619,treatmentOrder,high,1.865495246,0.354538715,95,95,2.24E-06,0.00035987
K06609,treatmentOrder,high,2.685117907,0.504389567,95,93,2.24E-06,0.00035987
K16696,treatmentOrder,high,3.041079212,0.571554379,95,90,2.25E-06,0.00035987
K16700,treatmentOrder,high,3.041079212,0.571554379,95,90,2.25E-06,0.00035987
K16707,treatmentOrder,high,2.923019803,0.550933101,95,91,2.29E-06,0.000365047
K11739,treatmentOrder,high,-3.169787141,0.608874264,95,94,2.31E-06,0.00036604
K13641,treatmentOrder,high,1.347000452,0.258482836,95,95,2.30E-06,0.00036604
K09695,treatmentOrder,high,-1.4144563,0.272466274,95,95,2.34E-06,0.000369623
K09694,treatmentOrder,high,-1.405187789,0.270773311,95,95,2.35E-06,0.000369628
K16709,treatmentOrder,high,3.035471477,0.572425064,95,90,2.39E-06,0.000374995
K10622,treatmentOrder,medium,2.775689358,0.522658771,95,95,2.45E-06,0.000382541
K13693,treatmentOrder,high,2.42882034,0.466020501,95,95,2.52E-06,0.000392566
K13919,treatmentOrder,high,2.670348394,0.504550532,95,94,2.56E-06,0.000396195
K14665,treatmentOrder,high,2.889618146,0.548700675,95,91,2.56E-06,0.000396195
K09120,treatmentOrder,high,-4.241938953,0.809883459,95,49,2.58E-06,0.000397346
K14048,treatmentOrder,high,2.044357267,0.397948944,95,95,2.66E-06,0.000408631
K15526,treatmentOrder,medium,2.315180713,0.461137128,95,95,2.71E-06,0.000415273
K15521,treatmentOrder,medium,2.316382297,0.462448798,95,95,2.84E-06,0.000433798
K18455,treatmentOrder,medium,2.307557788,0.463067128,95,95,3.15E-06,0.000479016
K19300,treatmentOrder,medium,2.027143017,0.389984532,95,95,3.16E-06,0.000479016
K13818,treatmentOrder,high,-4.222817876,0.817526924,95,76,3.22E-06,0.000486622
K19322,treatmentOrder,high,-4.223227206,0.817850712,95,76,3.24E-06,0.000487711
K15751,treatmentOrder,medium,2.293563943,0.423733265,95,17,3.42E-06,0.000513282
K15476,treatmentOrder,high,3.393081297,0.67180606,95,52,3.45E-06,0.000516388
K08085,treatmentOrder,medium,1.818223791,0.346804544,95,95,3.48E-06,0.000519264
K16148,treatmentOrder,medium,2.095741322,0.423407976,95,95,3.60E-06,0.000536285
K07029,treatmentOrder,medium,2.067220908,0.398638164,95,95,3.66E-06,0.000542877
K14733,treatmentOrder,high,3.08914011,0.604814328,95,93,3.69E-06,0.000545272
K02485,treatmentOrder,high,-1.213511766,0.246011035,95,95,3.86E-06,0.000568453
