	S10_L001	S11_L001	S12_L001	S13_L001	S14_L001	S15_L001	S16_L001	S17_L001	S18_L001	S19_L001	S1_L001	S20_L001	S21_L001	S22_L001	S23_L001	S25_L001	S26_L001	S27_L001	S28_L001	S29_L001	S2_L001	S30_L001	S31_L001	S32_L001	S33_L001	S34_L001	S35_L001	S36_L001	S37_L001	S38_L001	S39_L001	S3_L001	S40_L001	S41_L001	S42_L001	S43_L001	S44_L001	S45_L001	S46_L001	S47_L001	S48_L001	S49_L001	S4_L001	S50_L001	S51_L001	S52_L001	S53_L001	S54_L001	S55_L001	S56_L001	S57_L001	S58_L001	S59_L001	S5_L001	S61_L001	S62_L001	S63_L001	S64_L001	S65_L001	S66_L001	S67_L001	S68_L001	S69_L001	S6_L001	S70_L001	S71_L001	S72_L001	S73_L001	S74_L001	S75_L001	S76_L001	S77_L001	S78_L001	S79_L001	S7_L001	S80_L001	S81_L001	S82_L001	S83_L001	S85_L001	S86_L001	S87_L001	S88_L001	S89_L001	S8_L001	S90_L001	S92_L001	S93_L001	S94_L001	S95_L001	S96_L001	S97_L001	S9_L001	E5B55_L001	E5B56_L001
otunum1041	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	3	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0
otunum1042	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
otunum1043	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
otunum1044	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
otunum1045	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otunum1046	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
otunum1047	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otunum1048	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otunum1049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otunum105	0	1251	8	0	0	0	2	17	20	0	0	0	0	0	0	394	25	2	180	1	248	0	0	0	296	1	174	0	13	0	11	0	0	5	0	7	0	0	0	7	0	76	0	7	0	0	1	40	34	1	0	0	2	0	230	2	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	9	15	0	0	0	0	0	0	0	0	0	0	8	0	0	0	20	0	0	0	0	0	0	0
